id,is_multi_variants,taxes_id,supplier_taxes_id
product.template_V272357,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V272358,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273001,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273004,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273011,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273012,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273013,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273356,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273357,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273358,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V273500,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V274251,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V274252,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_V274253,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A280240,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A280250,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282020,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282024,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282027,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282028,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282043,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282119,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282182,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282183,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282243,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282264,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282442,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282541,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282600,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282601,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282650,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282660,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282730,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282802,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A282808,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A283008,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A283013,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A283015,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A283017,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C343173,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C343589,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C344200,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C344959,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C344965,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C344987,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C345959,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C345965,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C345987,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C346959,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C346965,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C347959,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C347965,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C347987,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C348100,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C348101,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C348102,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C348103,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C348751,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349199,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349200,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349205,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349215,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349220,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349230,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349399,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349400,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349410,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349420,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C349430,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C351159,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C354233,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C354244,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C354255,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C354266,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C354277,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C355110,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C355120,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C355130,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C355210,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C355220,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C355230,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C356697,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C356699,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357142,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357143,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357200,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357218,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357343,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357399,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357613,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357699,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357801,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357805,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C357810,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C360332,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C360755,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
