id,name,parent_id/id
product.category_Bijoux,Bijoux,
product.category_Affaires,Affaires,
product.category_Voyage,Voyage,
product.category_Caddies,Caddies,
product.category_Manucure,Manucure,
product.category_Garniturebureau,Garniture bureau,
product.category_Shopping,Shopping,
product.category_817,817,product.category_Affaires
product.category_818,818,product.category_Affaires
product.category_819,819,product.category_Affaires
product.category_820,820,product.category_Affaires
product.category_821,821,product.category_Affaires
product.category_822,822,product.category_Affaires
product.category_823,823,product.category_Affaires
product.category_824,824,product.category_Affaires
product.category_825,825,product.category_Affaires
product.category_826,826,product.category_Affaires
product.category_827,827,product.category_Affaires
product.category_828,828,product.category_Affaires
product.category_829,829,product.category_Affaires
product.category_830,830,product.category_Affaires
product.category_831,831,product.category_Affaires
product.category_832,832,product.category_Affaires
product.category_833,833,product.category_Affaires
product.category_834,834,product.category_Affaires
product.category_835,835,product.category_Affaires
product.category_836,836,product.category_Affaires
product.category_837,837,product.category_Affaires
product.category_838,838,product.category_Affaires
product.category_839,839,product.category_Affaires
product.category_840,840,product.category_Affaires
product.category_841,841,product.category_Affaires
product.category_842,842,product.category_Affaires
product.category_843,843,product.category_Affaires
product.category_844,844,product.category_Affaires
product.category_845,845,product.category_Affaires
product.category_846,846,product.category_Affaires
product.category_847,847,product.category_Affaires
product.category_848,848,product.category_Affaires
product.category_849,849,product.category_Affaires
product.category_850,850,product.category_Affaires
product.category_851,851,product.category_Affaires
product.category_852,852,product.category_Affaires
product.category_853,853,product.category_Affaires
product.category_854,854,product.category_Affaires
product.category_855,855,product.category_Affaires
product.category_856,856,product.category_Affaires
product.category_857,857,product.category_Affaires
product.category_858,858,product.category_Affaires
product.category_859,859,product.category_Affaires
product.category_860,860,product.category_Affaires
product.category_861,861,product.category_Affaires
product.category_862,862,product.category_Affaires
product.category_863,863,product.category_Affaires
product.category_864,864,product.category_Affaires
product.category_865,865,product.category_Affaires
product.category_866,866,product.category_Affaires
product.category_867,867,product.category_Affaires
product.category_868,868,product.category_Affaires
product.category_869,869,product.category_Affaires
product.category_870,870,product.category_Affaires
product.category_871,871,product.category_Affaires
product.category_872,872,product.category_Affaires
product.category_873,873,product.category_Affaires
product.category_874,874,product.category_Affaires
product.category_875,875,product.category_Affaires
product.category_876,876,product.category_Affaires
product.category_877,877,product.category_Affaires
product.category_878,878,product.category_Affaires
product.category_879,879,product.category_Affaires
product.category_880,880,product.category_Affaires
product.category_881,881,product.category_Affaires
product.category_882,882,product.category_Affaires
product.category_883,883,product.category_Affaires
product.category_884,884,product.category_Affaires
product.category_885,885,product.category_Affaires
product.category_886,886,product.category_Affaires
product.category_887,887,product.category_Affaires
product.category_888,888,product.category_Affaires
product.category_889,889,product.category_Affaires
product.category_890,890,product.category_Affaires
product.category_891,891,product.category_Affaires
product.category_892,892,product.category_Affaires
product.category_893,893,product.category_Affaires
product.category_894,894,product.category_Affaires
product.category_895,895,product.category_Affaires
product.category_896,896,product.category_Affaires
