id,name,city,bic,country
res.bank_CAPWBEBB,CAPITALÊAT WORK SA,BRUSSELS,CAPWBEBB,BE
res.bank_CARGBEBL,CARFIN SA,LOUVAIN-LA-NEUVE,CARGBEBL,BE
res.bank_CAFIBEBB,CARREFOUR FINANCE SA,BRUSSELS,CAFIBEBB,BE
res.bank_CREGBEBB,CBC BANQUE S.A.,BRUSSELS,CREGBEBB,BE
res.bank_CREGBEBBNBB,CBC BANQUE S.A.,BRUSSELS,CREGBEBBNBB,BE
res.bank_CEINBEBB,CELIO INTERNATIONAL,BRUSSELS,CEINBEBB,BE
res.bank_CITIBEBX,CITIBANK INTERNATIONAL PLC,BRUSSELS,CITIBEBX,BE
res.bank_COBABEBXTBU,COMMERZBANK AG THE BRUSSELS BRANCH,BRUSSELS,COBABEBXTBU,BE
res.bank_COBABEBX,COMMERZBANK AG THE BRUSSELS BRANCH,BRUSSELS,COBABEBX,BE
res.bank_EUCOBEBB,COMMISSION DES COMMUNAUTES EUROPEENNES,BRUSSELS,EUCOBEBB,BE
res.bank_CEXPBE33,CORPORATE EXPRESS SHARED SERVICE CENTER (EUROPE) NV,HASSELT,CEXPBE33,BE
res.bank_CPHBBE75,CPH BANQUE,TOURNAI,CPHBBE75,BE
res.bank_CPHBBE75TG2,CPH BANQUE,TOURNAI,CPHBBE75TG2,BE
res.bank_CRLYBEBB,CREDIT AGRICOLE CIB BELGIUM,BRUSSELS,CRLYBEBB,BE
res.bank_CVMCBEBB,CREDIT AGRICOLE LUXEMBOURG SUCCURSALE EN BELGIQUE BIJBANK IN BELGIE,BRUSSELS,CVMCBEBB,BE
res.bank_FBHLBE22,CREDIT EUROPE BANK N.V. ANTWERP BRANCH,ANTWERPEN,FBHLBE22,BE
res.bank_BKCPBEBBTGT,CREDITÊPROFESSIONNELÊSA / BEROEPSKREDIET NV,BRUSSELS,BKCPBEBBTGT,BE
res.bank_BKCPBEBB,CREDITÊPROFESSIONNELÊSA / BEROEPSKREDIET NV,BRUSSELS,BKCPBEBB,BE
res.bank_SPAABE22,CRELAN SA/NV (FORMERLY CENTEA NV),ANTWERPEN,SPAABE22,BE
res.bank_NICABEBB,CRELAN SA/NV (FORMERLY CREDIT AGRICOLE SA/LANDBOUWKREDIET NV),BRUSSELS,NICABEBB,BE
res.bank_BNAGBEBB,DELTA LLOYD BANK NV (BELGIUM),BRUSSELS,BNAGBEBB,BE
res.bank_DHBNBEBB,DEMIR HALK BANK (NEDERLAND) N.V. BRUSSELS BRANCH,BRUSSELS,DHBNBEBB,BE
res.bank_DEUTBEBEANT,DEUTSCHE BANK A.G.,ANTWERPEN,DEUTBEBEANT,BE
res.bank_DEUTBEBE,DEUTSCHE BANK A.G.,BRUSSELS,DEUTBEBE,BE
res.bank_DEUTBEBEUNP,DEUTSCHE BANK A.G.,BRUSSELS,DEUTBEBEUNP,BE
res.bank_BDCHBE22610,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),ANTWERPEN,BDCHBE22610,BE
res.bank_BDCHBE22611,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),BRUSSELS,BDCHBE22611,BE
res.bank_BDCHBE22,DEUTSCHE BANK AG (FORMERLY DEUTSCHE BANK EUROPE GMBH BELGIUM BRANCH),BRUSSELS,BDCHBE22,BE
